ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1356,Christian Ahlmann,M,31,186,77,Sweden,SWE,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1356,Christian Ahlmann,M,43,186,77,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1885,Ramzy Al-Duhami,M,42,159,67,Belgium,BEL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
1889,Khaled Al-Eid,M,33,172,54,Belgium,BEL,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
2134,Prince Abdullah Bin Moteb Al-Saud,M,29,175,66,Belgium,BEL,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
2651,Sara Anneli Algotsson Ostholt,F,39,160,53,Elvis Va,GER,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2894,Derek Swithin Allhusen,M,56,177,68,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
2894,Derek Swithin Allhusen,M,56,177,68,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
3477,Otto Ammermann,M,45,180,68,Nadine,NED,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
4335,Paolo Angioni,M,28,174,61,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
5018,Alessandro Argenton,M,29,169,60,Germany,GER,1964 Summer,1964,Summer,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
5018,Alessandro Argenton,M,37,169,60,Germany,GER,1972 Summer,1972,Summer,Munich,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
